id,faithfulness_score,fluency_score,review_notes
51,5,5,"Accurate summary of the library's digital section and student access; slightly adds a general-purpose claim."
52,5,5,"Accurately preserves drip irrigation, water conservation, dry season, and crop yields."
53,5,5,"Accurate and concise summary of the school's weekly recycling program and classroom-material funding."
54,5,5,"Faithful summary of telemedicine and remote access for nearby villages; natural English."
55,5,4,"Faithful Hindi summary, but unnecessarily provides multiple alternative summaries and formatting."
56,4,3,"Main library information is present, but response is verbose and begins giving multiple summary options."
57,5,5,"Accurately summarizes drip irrigation and water conservation during drought."
58,4,4,"Main recycling activity is preserved, but adds an unsupported statement about students reducing waste."
59,5,4,"Preserves the library's digital services, e-books, online newspapers, and training; somewhat more elaborate than requested."
60,5,5,"Accurately summarizes the school tree-planting activity and environmental purpose."
61,5,5,"Faithful Tamil summary of the library's e-books and computer facilities for students."
62,5,5,"Faithful summary of farmers using drip irrigation to save water during a dry period."
63,2,3,"Adds unsupported details including a government school, teacher name, collection procedure, and recycling center."
64,5,5,"Accurate Tamil summary of repairing damaged electrical wires after strong winds."
65,5,5,"Faithful summary with the key event and intended outcome preserved."
66,5,5,"Faithful English summary preserving the main points; concise and readable."
67,5,4,"Main information is preserved, but response is somewhat more verbose than the requested 1-2 sentences."
68,5,5,"Accurate and clear summary with the central facts preserved."
69,5,5,"Faithful summary of weekend computer classes for older adults; fluent English."
70,4,3,"Correct railway portal information, but response becomes verbose and includes unnecessary feature/explanation formatting."
71,5,5,"Faithfully summarizes the online railway ticket assistance portal."
72,5,5,"Main facts are preserved with clear and natural wording."
73,5,5,"Accurate concise summary of the source information."
74,5,5,"Faithful summary with no major unsupported claims observed."
75,5,5,"Accurate summary with the main information preserved and clear wording."
