id,task,lang,score,score_type,latency_s,input_tokens,output_tokens,total_tokens,estimated_cost_inr,status,error
1,factual_qa,en,1,exact_match,18.2426,20,843,863,0.062293,success,
2,factual_qa,en,0,exact_match,4.0847,18,209,227,0.015826,success,
3,factual_qa,en,1,exact_match,2.4606,18,120,138,0.009311,success,
4,factual_qa,en,1,exact_match,5.4175,19,283,302,0.021272,success,
5,factual_qa,en,1,exact_match,16.9976,19,1020,1039,0.07522,success,
6,factual_qa,en,1,exact_match,21.104,23,1247,1270,0.091954,success,
7,factual_qa,en,1,exact_match,31.7093,17,1763,1780,0.129549,success,
8,factual_qa,en,1,exact_match,3.3164,21,132,153,0.010277,success,
9,factual_qa,en,1,exact_match,9.6345,17,580,597,0.042954,success,
10,factual_qa,hi,1,exact_match,16.4933,18,1135,1153,0.083609,success,
11,factual_qa,hi,1,exact_match,5.9247,18,279,297,0.02095,success,
12,factual_qa,hi,1,exact_match,4.8702,17,323,340,0.024141,success,
13,factual_qa,hi,1,exact_match,5.3271,19,344,363,0.025737,success,
14,factual_qa,hi,1,exact_match,6.7866,21,462,483,0.034433,success,
15,factual_qa,hi,1,exact_match,18.5422,19,1293,1312,0.095204,success,
16,factual_qa,hi,0,exact_match,5.777,23,371,394,0.027831,success,
17,factual_qa,hi,1,exact_match,6.5618,20,449,469,0.033452,success,
18,factual_qa,ta,1,exact_match,14.7627,17,1018,1035,0.075015,success,
19,factual_qa,ta,1,exact_match,14.5317,18,1038,1056,0.076509,success,
20,factual_qa,ta,1,exact_match,25.9491,19,1817,1836,0.133561,success,
21,factual_qa,ta,1,exact_match,5.516,21,317,338,0.023819,success,
22,factual_qa,ta,0,exact_match,12.8434,22,841,863,0.062205,success,
23,factual_qa,ta,0,exact_match,21.8551,19,1625,1644,0.119506,success,
24,factual_qa,ta,0,exact_match,3.5262,19,208,227,0.015782,success,
25,factual_qa,ta,1,exact_match,5.2857,18,355,373,0.026513,success,
26,translation,en,0,chrF,29.3602,26,2048,2074,0.150675,success,
27,translation,en,0,chrF,28.6485,24,2048,2072,0.150616,success,
28,translation,en,0,chrF,30.2579,24,2048,2072,0.150616,success,
29,translation,en,0,chrF,32.9542,25,2048,2073,0.150646,success,
30,translation,en,0,chrF,28.7062,23,2048,2071,0.150587,success,
31,translation,en,34.8184,chrF,28.5267,24,2048,2072,0.150616,success,
32,translation,en,0,chrF,28.4657,24,2048,2072,0.150616,success,
33,translation,en,0,chrF,35.0623,22,2048,2070,0.150558,success,
34,translation,hi,7.9062,chrF,36.1876,24,2048,2072,0.150616,success,
35,translation,hi,0,chrF,34.2343,25,2048,2073,0.150646,success,
36,translation,hi,0,chrF,33.3681,25,2048,2073,0.150646,success,
37,translation,hi,0,chrF,32.0609,26,2048,2074,0.150675,success,
38,translation,hi,2.7046,chrF,31.3021,26,1762,1788,0.12974,success,
39,translation,hi,22.3474,chrF,30.3426,26,1958,1984,0.144087,success,
40,translation,hi,0.0,chrF,19.9775,24,1273,1297,0.093886,success,
41,translation,hi,0,chrF,33.4735,24,2048,2072,0.150616,success,
42,translation,ta,0.3623,chrF,26.9099,26,1647,1673,0.121322,success,
43,translation,ta,43.096,chrF,22.9042,24,1473,1497,0.108526,success,
44,translation,ta,10.4251,chrF,34.0132,27,2047,2074,0.150631,success,
45,translation,ta,0.0,chrF,34.8102,29,2048,2077,0.150763,success,
46,translation,ta,11.4348,chrF,32.8731,25,2048,2073,0.150646,success,
47,translation,ta,0,chrF,33.8398,25,2048,2073,0.150646,success,
48,translation,ta,0,chrF,34.0227,24,2048,2072,0.150616,success,
49,translation,ta,33.5452,chrF,33.0043,29,2048,2077,0.150763,success,
50,translation,ta,0.0815,chrF,29.6519,32,1792,1824,0.132111,success,
51,summarization,en,,human_rating_pending,32.6376,38,2048,2086,0.151026,success,
52,summarization,en,,human_rating_pending,22.553,36,1408,1444,0.10412,success,
53,summarization,en,,human_rating_pending,26.649,39,1708,1747,0.126168,success,
54,summarization,en,,human_rating_pending,33.0572,37,2048,2085,0.150997,success,
55,summarization,en,,human_rating_pending,36.4754,37,2048,2085,0.150997,success,
56,summarization,en,,human_rating_pending,37.5779,36,2048,2084,0.150968,success,
57,summarization,en,,human_rating_pending,38.3833,34,2048,2082,0.150909,success,
58,summarization,en,,human_rating_pending,12.818,37,703,740,0.052543,success,
59,summarization,hi,,human_rating_pending,35.4702,35,1997,2032,0.147205,success,
60,summarization,hi,,human_rating_pending,33.4441,33,2048,2081,0.15088,success,
61,summarization,hi,,human_rating_pending,23.2329,33,1440,1473,0.106374,success,
62,summarization,hi,,human_rating_pending,19.9592,30,1400,1430,0.103358,success,
63,summarization,hi,,human_rating_pending,23.5732,34,1660,1694,0.122508,success,
64,summarization,hi,,human_rating_pending,23.9831,35,1525,1560,0.112655,success,
65,summarization,hi,,human_rating_pending,29.6597,34,1973,2007,0.145419,success,
66,summarization,hi,,human_rating_pending,24.8114,31,1495,1526,0.110342,success,
67,summarization,ta,,human_rating_pending,20.3359,37,1245,1282,0.092217,success,
68,summarization,ta,,human_rating_pending,23.5421,38,1363,1401,0.100884,success,
69,summarization,ta,,human_rating_pending,27.9962,38,1751,1789,0.129286,success,
70,summarization,ta,,human_rating_pending,36.5713,39,2037,2076,0.15025,success,
71,summarization,ta,,human_rating_pending,28.8708,36,1520,1556,0.112318,success,
72,summarization,ta,,human_rating_pending,20.8282,39,1269,1308,0.094033,success,
73,summarization,ta,,human_rating_pending,22.4169,36,1355,1391,0.10024,success,
74,summarization,ta,,human_rating_pending,21.1759,39,1381,1420,0.102231,success,
75,summarization,ta,,human_rating_pending,26.9523,41,1713,1754,0.126592,success,
76,reasoning_math,en,1,final_answer_match,3.4777,32,187,219,0.014625,success,
77,reasoning_math,en,1,final_answer_match,4.379,32,242,274,0.018651,success,
78,reasoning_math,en,1,final_answer_match,4.9557,34,274,308,0.021052,success,
79,reasoning_math,en,1,final_answer_match,5.4482,33,314,347,0.023951,success,
80,reasoning_math,en,1,final_answer_match,6.6136,37,381,418,0.028973,success,
81,reasoning_math,en,1,final_answer_match,3.7331,33,210,243,0.016338,success,
82,reasoning_math,en,1,final_answer_match,4.872,36,269,305,0.020745,success,
83,reasoning_math,en,1,final_answer_match,4.0785,32,224,256,0.017334,success,
84,reasoning_math,en,0,final_answer_match,3.43,28,188,216,0.014581,success,
85,reasoning_math,hi,1,final_answer_match,6.0477,35,326,361,0.024888,success,
86,reasoning_math,hi,1,final_answer_match,3.0504,36,148,184,0.011888,success,
87,reasoning_math,hi,1,final_answer_match,5.2706,31,269,300,0.020598,success,
88,reasoning_math,hi,1,final_answer_match,7.8034,38,431,469,0.032662,success,
89,reasoning_math,hi,1,final_answer_match,5.2567,30,253,283,0.019398,success,
90,reasoning_math,hi,1,final_answer_match,6.0558,36,321,357,0.024551,success,
91,reasoning_math,hi,1,final_answer_match,7.5741,32,368,400,0.027875,success,
92,reasoning_math,hi,1,final_answer_match,8.4823,37,411,448,0.031169,success,
93,reasoning_math,ta,1,final_answer_match,4.6556,31,215,246,0.016646,success,
94,reasoning_math,ta,1,final_answer_match,4.6232,45,232,277,0.0183,success,
95,reasoning_math,ta,1,final_answer_match,5.4565,33,283,316,0.021682,success,
96,reasoning_math,ta,1,final_answer_match,4.7341,34,213,247,0.016587,success,
97,reasoning_math,ta,1,final_answer_match,5.8134,43,294,337,0.02278,success,
98,reasoning_math,ta,1,final_answer_match,8.4907,39,458,497,0.034668,success,
99,reasoning_math,ta,1,final_answer_match,4.4828,45,255,300,0.019984,success,
100,reasoning_math,ta,0,final_answer_match,35.7138,36,2048,2084,0.150968,success,
