id,task,lang,prompt,reference
1,factual_qa,en,What is the capital of India?,New Delhi
2,factual_qa,en,How many days are there in a leap year?,366
3,factual_qa,en,What planet is known as the Red Planet?,Mars
4,factual_qa,en,What is the largest ocean on Earth?,Pacific Ocean
5,factual_qa,en,What is 12 multiplied by 8?,96
6,factual_qa,en,Who wrote the play Romeo and Juliet?,William Shakespeare
7,factual_qa,en,What gas do plants absorb during photosynthesis?,Carbon dioxide
8,factual_qa,en,How many continents are there?,7
9,factual_qa,en,What is the boiling point of water at sea level in Celsius?,100 degrees Celsius
10,factual_qa,en,Which instrument has black and white keys and is commonly used in classical music?,Piano
11,factual_qa,hi,भारत की राजधानी क्या है?,नई दिल्ली
12,factual_qa,hi,एक लीप वर्ष में कितने दिन होते हैं?,366
13,factual_qa,hi,लाल ग्रह किस ग्रह को कहा जाता है?,मंगल
14,factual_qa,hi,पृथ्वी का सबसे बड़ा महासागर कौन सा है?,प्रशांत महासागर
15,factual_qa,hi,12 को 8 से गुणा करने पर कितना होगा?,96
16,factual_qa,hi,रोमियो और जूलियट नाटक किसने लिखा?,विलियम शेक्सपियर
17,factual_qa,hi,प्रकाश संश्लेषण के दौरान पौधे कौन सी गैस अवशोषित करते हैं?,कार्बन डाइऑक्साइड
18,factual_qa,hi,दुनिया में कितने महाद्वीप हैं?,7
19,factual_qa,hi,समुद्र तल पर पानी का क्वथनांक कितने डिग्री सेल्सियस होता है?,100 डिग्री सेल्सियस
20,factual_qa,hi,काले और सफेद कुंजियों वाला सामान्य वाद्य यंत्र कौन सा है?,पियानो
21,factual_qa,ta,இந்தியாவின் தலைநகர் எது?,புது தில்லி
22,factual_qa,ta,ஒரு லீப் ஆண்டில் எத்தனை நாட்கள் உள்ளன?,366
23,factual_qa,ta,சிவப்பு கிரகம் என்று அழைக்கப்படும் கிரகம் எது?,செவ்வாய்
24,factual_qa,ta,பூமியின் மிகப்பெரிய பெருங்கடல் எது?,பசிபிக் பெருங்கடல்
