"id","lang","reference","output"
"51","en","Heavy rain flooded roads in Mumbai and authorities advised commuters to avoid low-lying areas.","Heavy rain in Mumbai flooded several roads, and local authorities advised commuters to avoid low-lying areas."
"52","en","The city library opened a digital section with e-books and free computer access for students.","A city library has opened a new digital section, offering thousands of e-books and free computer access for students. The new resources are designed to support the educational and technological needs of the community."
"53","en","Farmers adopted drip irrigation to save water while maintaining crop yields during a dry season.","Farmers in the district adopted drip irrigation to conserve water during a dry season while successfully maintaining their crop yields."
"54","en","A school started weekly recycling of paper and plastic and uses the proceeds for classroom materials.","A school introduced a weekly recycling program that collects paper and plastic, using the proceeds to fund classroom materials."
"55","en","A hospital added telemedicine so nearby villagers can consult doctors without traveling long distances.","To improve healthcare access, a local hospital has launched a telemedicine service, allowing patients in nearby villages to consult with doctors remotely and avoid long-distance travel."
"56","hi","भारी बारिश से शहर की कई सड़कें जलमग्न हुईं और प्रशासन ने सावधानी बरतने को कहा।","भारी बारिश के बाद शहर में जगह-जगह जलभराव हो गया है, जिसकी वजह से प्रशासन ने जनता को सावधानी बरतने की सलाह दी है।

यहाँ कुछ दूसरे तरीके दिए गए हैं:

* **संक्षिप्त:** शहर भर में जलभराव हो गया है, जिसके बाद प्रशासन ने लोगों को सावधान रहने को कहा है।
* **हेडलाइन:** शहर में जलभराव; भारी बारिश के कारण प्रशासन की चेतावनी।"
"57","hi","पुस्तकालय ने विद्यार्थियों के लिए डिजिटल किताबें और कंप्यूटर सुविधा शुरू की।","***

यहाँ कुछ समरी (summary) ऑप्शन दिए गए हैं, सबसे छोटे से लेकर थोड़े ज़्यादा डिटेल के साथ:

**बहुत छोटी समरी:**
इस लाइब्रेरी ने स्टूडेंट्स के लिए डिजिटल बुक्स और कंप्यूटर फैसिलिटीज़ शुरू कर दी हैं।

**स्टैंडर्ड समरी:**
पढ़ाई के लिए बेहतर रिसोर्स देने के लिए, लाइब्रेरी ने स्टूडेंट्स के इस्तेमाल के लिए डिजिटल बुक्स और नई कंप्यूटर फैसिलिटीज़ की शुरुआत की है।

**बुलेट-पॉइंट समरी:**
*   **कौन:** लाइब्रेरी
*   **क्या एक्शन:** नई डिजिटल सर्विसेज़ की शुरुआत
*   **किसके लिए:** स्टूडेंट्स
*   **नए रिसोर्स:**
    *   डिजिटल (ई-) बुक्स का एक बड़ा कलेक्शन
    *   कंप्यूटर वर्कस्टेशन और फैसिलिटीज़"
"58","hi","किसानों ने सूखे में पानी बचाने के लिए ड्रिप सिंचाई अपनाई।","सूखे के दौरान, किसानों ने ड्रिप इरिगेशन (drip irrigation) का इस्तेमाल करके पानी बचाने का एक असरदार तरीका निकाल लिया।"
"59","hi","स्कूल ने कागज और प्लास्टिक के साप्ताहिक पुनर्चक्रण की योजना शुरू की।","स्कूल ने हर हफ्ते कागज़ और प्लास्टिक को रीसायकल करने का एक प्रोग्राम शुरू किया है।

इसके कुछ और छोटे विकल्प:
* स्कूल ने हर हफ्ते कागज़ और प्लास्टिक इकट्ठा करने का काम शुरू किया है।
* छात्रों के लिए कम से कम कचरा फैलाने की पहल शुरू हुई है।"
"60","hi","अस्पताल ने गांवों के मरीजों के लिए टेलीमेडिसिन सेवा शुरू की।","एक अस्पताल ने दूर-दराज के गांवों के मरीजों की देखभाल तक पहुंच बेहतर बनाने के लिए एक टेलीमेडिसिन सर्विस शुरू की है।"
"61","ta","கனமழையால் பல சாலைகள் நீரில் மூழ்கியதால் அதிகாரிகள் எச்சரிக்கையுடன் இருக்குமாறு கேட்டுக்கொண்டனர்.","நகரத்தில் பலமான மழை பெய்ததால், பல சாலைகளில் தண்ணீர் தேங்கியுள்ளது, இதனால் போக்குவரத்து பாதிக்கப்பட்டுள்ளது. மக்கள் கவனமாக இருக்குமாறும், தண்ணீர் தேங்கியுள்ள பகுதிகளைத் தவிர்க்குமாறும் அதிகாரிகள் அறிவுறுத்தியுள்ளனர்."
"62","ta","நூலகம் மாணவர்களுக்காக மின்னூல்கள் மற்றும் கணினி வசதியைத் தொடங்கியது.","நூலகம் மாணவர்களுக்காக மின் புத்தகங்கள் (e-book) மற்றும் கணினி வசதிகளை அறிமுகப்படுத்தியது."
"63","ta","விவசாயிகள் வறட்சியில் நீரைச் சேமிக்க சொட்டு நீர்ப்பாசனத்தைப் பயன்படுத்தினர்.",""
"64","ta","பள்ளி வாரந்தோறும் காகிதம் மற்றும் பிளாஸ்டிக்கை மறுசுழற்சி செய்யும் திட்டத்தைத் தொடங்கியது.","அரசு மேல்நிலைப் பள்ளி ஒரு கிரீன் ரீசைக்கிளிங் திட்டத்தை தொடங்கியுள்ளது. ஒவ்வொரு வெள்ளிக்கிழமையும், பிள்ளைகள் பள்ளியிலிருந்தோ அல்லது வீட்டிலிருந்தோ சேகரித்த காகித துண்டுகளையும், பிளாஸ்டிக் பாட்டில்களையும் கொண்டு வருவார்கள். ஆசிரியை திருமதி. கவிதா, அந்தப் பொருட்களைத் தனித்தனியாக வகைப்படுத்தி, உள்ளூர் ரீசைக்கிளிங் மையத்திற்கு அனுப்ப ஏற்பாடு செய்கிறார். இந்தத் திட்டம் மூலம், பிளாஸ்டிக் குப்பைகள் குறைவதுடன், பிளாஸ்டிக் மறுபயன்பாடு குறித்தும் பிள்ளைகளுக்கு விழிப்புணர்வு கிடைக்கிறது. இந்த வெள்ளிக்கிழமை, ஆசிரியர்களும் இதில் பங்கேற்று, பிள்ளைகளுக்கு சிறந்த மாதிரி ஆளாக விளங்குகிறார்கள்."
"65","ta","மருத்துவமனை கிராம மக்களுக்கு தொலைமருத்துவ சேவையைத் தொடங்கியது.","பொதுவழக்கப்படி சொல்லப்போனால், இதன் அர்த்தம் இதுதான்:

கிராம மக்கள் வெகுதூரம் பயணம் செய்வதைத் தவிர்க்கும் வகையில், ஒரு மருத்துவமனை அருகில் உள்ள கிராம மக்களுக்கு தொலைதூர மருத்துவ சேவைகளை (telemedical services) வழங்கத் தொடங்கியது."
"66","en","The park added solar-powered lights to improve evening visibility and reduce grid electricity use.","The public park installed solar-powered lights to increase nighttime visibility while reducing its reliance on grid electricity."
"67","en","A university launched scholarships to help low-income students pay for tuition and books.",""
"68","hi","नगर निगम ने पुरानी बसों की जगह नई बसें चलाने की योजना घोषित की।","नगर निगम ने अपने पुराने बसों को हटाकर नई बसें शुरू करके शहर के पब्लिक ट्रांसपोर्ट सिस्टम को बेहतर बनाने का ऐलान किया है।"
